Type,EV,Index,x1,p1,x2,p2,Realization,Allocation,A_or_B,payoff
A1,25,Lotere_1,25,1,0,0,,0,X,
A1,25,Lotere_2,24,0.5,26,0.5,,0,X,
A1,25,Lotere_3,23,0.5,27,0.5,,0,X,
A1,25,Lotere_4,22,0.5,28,0.5,,0,X,
A1,25,Lotere_5,21,0.5,29,0.5,,0,X,
A1,17.4,Lotere_6,30,0.1,16,0.9,,0,X,
A1,18.8,Lotere_7,30,0.2,16,0.8,,0,X,
A1,20.2,Lotere_8,30,0.3,16,0.7,,0,X,
A1,21.6,Lotere_9,30,0.4,16,0.6,,0,X,
A1,23,Lotere_10,30,0.5,16,0.5,,0,X,
A1,20.9,Lotere_11,30,0.3,17,0.7,,0,X,
A1,20.9,Lotere_12,30,0.3,17,0.7,,0,X,
A1,20.9,Lotere_13,30,0.3,17,0.7,,0,X,
A1,20.9,Lotere_14,30,0.3,17,0.7,,0,X,
A1,20.9,Lotere_15,30,0.3,17,0.7,,0,X,
A2,25,Lotere_16,20,0.5,30,0.5,,0,X,
A2,25,Lotere_17,19,0.5,31,0.5,,0,X,
A2,25,Lotere_18,18,0.5,32,0.5,,0,X,
A2,25,Lotere_19,17,0.5,33,0.5,,0,X,
A2,25,Lotere_20,16,0.5,34,0.5,,0,X,
A2,24.4,Lotere_21,30,0.6,16,0.4,,0,X,
A2,25.8,Lotere_22,30,0.7,16,0.3,,0,X,
A2,27.2,Lotere_23,30,0.8,16,0.2,,0,X,
A2,28.6,Lotere_24,30,0.9,16,0.1,,0,X,
A2,30,Lotere_25,30,1,16,0,,0,X,
A2,20.9,Lotere_26,30,0.3,17,0.7,,0,X,
A2,20.9,Lotere_27,30,0.3,17,0.7,,0,X,
A2,20.9,Lotere_28,30,0.3,17,0.7,,0,X,
A2,20.9,Lotere_29,30,0.3,17,0.7,,0,X,
A2,20.9,Lotere_30,30,0.3,17,0.7,,0,X,
B1,25,Lotere_31,15,0.5,35,0.5,,0,X,
B1,25,Lotere_32,14,0.5,36,0.5,,0,X,
B1,25,Lotere_33,13,0.5,37,0.5,,0,X,
B1,25,Lotere_34,12,0.5,38,0.5,,0,X,
B1,25,Lotere_35,11,0.5,39,0.5,,0,X,
B1,8.5,Lotere_36,40,0.1,5,0.9,,0,X,
B1,12,Lotere_37,40,0.2,5,0.8,,0,X,
B1,15.5,Lotere_38,40,0.3,5,0.7,,0,X,
B1,19,Lotere_39,40,0.4,5,0.6,,0,X,
B1,22.5,Lotere_40,40,0.5,5,0.5,,0,X,
B1,16.8,Lotere_41,60,0.1,12,0.9,,0,X,
B1,17.8,Lotere_42,70,0.1,12,0.9,,0,X,
B1,18.8,Lotere_43,80,0.1,12,0.9,,0,X,
B1,19.8,Lotere_44,90,0.1,12,0.9,,0,X,
B1,20.8,Lotere_45,100,0.1,12,0.9,,0,X,
B2,25,Lotere_46,10,0.5,40,0.5,,0,X,
B2,25,Lotere_47,9,0.5,41,0.5,,0,X,
B2,25,Lotere_48,8,0.5,42,0.5,,0,X,
B2,25,Lotere_49,7,0.5,43,0.5,,0,X,
B2,25,Lotere_50,6,0.5,44,0.5,,0,X,
B2,26,Lotere_51,40,0.6,5,0.4,,0,X,
B2,29.5,Lotere_52,40,0.7,5,0.3,,0,X,
B2,33,Lotere_53,40,0.8,5,0.2,,0,X,
B2,36.5,Lotere_54,40,0.9,5,0.1,,0,X,
B2,40,Lotere_55,40,1,5,0,,0,X,
B2,21.8,Lotere_56,110,0.1,12,0.9,,0,X,
B2,22.8,Lotere_57,120,0.1,12,0.9,,0,X,
B2,23.8,Lotere_58,130,0.1,12,0.9,,0,X,
B2,24.8,Lotere_59,140,0.1,12,0.9,,0,X,
B2,25.8,Lotere_60,150,0.1,12,0.9,,0,X,
C,25,Lotere_61,5,0.5,45,0.5,,0,X,
C,24,Lotere_62,24,1,0,0,,0,X,
C,21,Lotere_63,21,1,0,0,,0,X,
