Type,EV,Index,x1,p1,x2,p2,Realization,Allocation,A_or_B,payoff
A1,20.9,,30,0.3,17,0.7,,0,X,
A1,20.9,,30,0.3,17,0.7,,0,X,
A1,20.9,,30,0.3,17,0.7,,0,X,
A1,20.9,,30,0.3,17,0.7,,0,X,
A1,20.9,,30,0.3,17,0.7,,0,X,
A2,20.9,,30,0.3,17,0.7,,0,X,
A2,20.9,,30,0.3,17,0.7,,0,X,
A2,20.9,,30,0.3,17,0.7,,0,X,
A2,20.9,,30,0.3,17,0.7,,0,X,
A2,20.9,,30,0.3,17,0.7,,0,X,
B1,16.8,,60,0.1,12,0.9,,0,X,
B1,17.8,,70,0.1,12,0.9,,0,X,
B1,18.8,,80,0.1,12,0.9,,0,X,
B1,19.8,,90,0.1,12,0.9,,0,X,
B1,20.8,,100,0.1,12,0.9,,0,X,
B2,21.8,,110,0.1,12,0.9,,0,X,
B2,22.8,,120,0.1,12,0.9,,0,X,
B2,23.8,,130,0.1,12,0.9,,0,X,
B2,24.8,,140,0.1,12,0.9,,0,X,
B2,25.8,,150,0.1,12,0.9,,0,X,
C,21,,21,1,0,0,,0,X,
