Type,EV,Index,x1,p1,x2,p2,Realization,Allocation,A_or_B,payoff
A1,25,Alternatif_1,25,1,0,0,,0,X,
A1,25,Alternatif_2,24,0.5,26,0.5,,0,X,
A1,25,Alternatif_3,23,0.5,27,0.5,,0,X,
A1,25,Alternatif_4,22,0.5,28,0.5,,0,X,
A1,25,Alternatif_5,21,0.5,29,0.5,,0,X,
A1,17.4,Alternatif_6,30,0.1,16,0.9,,0,X,
A1,18.8,Alternatif_7,30,0.2,16,0.8,,0,X,
A1,20.2,Alternatif_8,30,0.3,16,0.7,,0,X,
A1,21.6,Alternatif_9,30,0.4,16,0.6,,0,X,
A1,23,Alternatif_10,30,0.5,16,0.5,,0,X,
A1,20.9,Alternatif_11,30,0.3,17,0.7,,0,X,
A1,20.9,Alternatif_12,30,0.3,17,0.7,,0,X,
A1,20.9,Alternatif_13,30,0.3,17,0.7,,0,X,
A1,20.9,Alternatif_14,30,0.3,17,0.7,,0,X,
A1,20.9,Alternatif_15,30,0.3,17,0.7,,0,X,
A2,25,Alternatif_16,20,0.5,30,0.5,,0,X,
A2,25,Alternatif_17,19,0.5,31,0.5,,0,X,
A2,25,Alternatif_18,18,0.5,32,0.5,,0,X,
A2,25,Alternatif_19,17,0.5,33,0.5,,0,X,
A2,25,Alternatif_20,16,0.5,34,0.5,,0,X,
A2,24.4,Alternatif_21,30,0.6,16,0.4,,0,X,
A2,25.8,Alternatif_22,30,0.7,16,0.3,,0,X,
A2,27.2,Alternatif_23,30,0.8,16,0.2,,0,X,
A2,28.6,Alternatif_24,30,0.9,16,0.1,,0,X,
A2,30,Alternatif_25,30,1,16,0,,0,X,
A2,20.9,Alternatif_26,30,0.3,17,0.7,,0,X,
A2,20.9,Alternatif_27,30,0.3,17,0.7,,0,X,
A2,20.9,Alternatif_28,30,0.3,17,0.7,,0,X,
A2,20.9,Alternatif_29,30,0.3,17,0.7,,0,X,
A2,20.9,Alternatif_30,30,0.3,17,0.7,,0,X,
B1,25,Alternatif_31,15,0.5,35,0.5,,0,X,
B1,25,Alternatif_32,14,0.5,36,0.5,,0,X,
B1,25,Alternatif_33,13,0.5,37,0.5,,0,X,
B1,25,Alternatif_34,12,0.5,38,0.5,,0,X,
B1,25,Alternatif_35,11,0.5,39,0.5,,0,X,
B1,8.5,Alternatif_36,40,0.1,5,0.9,,0,X,
B1,12,Alternatif_37,40,0.2,5,0.8,,0,X,
B1,15.5,Alternatif_38,40,0.3,5,0.7,,0,X,
B1,19,Alternatif_39,40,0.4,5,0.6,,0,X,
B1,22.5,Alternatif_40,40,0.5,5,0.5,,0,X,
B1,16.8,Alternatif_41,60,0.1,12,0.9,,0,X,
B1,17.8,Alternatif_42,70,0.1,12,0.9,,0,X,
B1,18.8,Alternatif_43,80,0.1,12,0.9,,0,X,
B1,19.8,Alternatif_44,90,0.1,12,0.9,,0,X,
B1,20.8,Alternatif_45,100,0.1,12,0.9,,0,X,
B2,25,Alternatif_46,10,0.5,40,0.5,,0,X,
B2,25,Alternatif_47,9,0.5,41,0.5,,0,X,
B2,25,Alternatif_48,8,0.5,42,0.5,,0,X,
B2,25,Alternatif_49,7,0.5,43,0.5,,0,X,
B2,25,Alternatif_50,6,0.5,44,0.5,,0,X,
B2,26,Alternatif_51,40,0.6,5,0.4,,0,X,
B2,29.5,Alternatif_52,40,0.7,5,0.3,,0,X,
B2,33,Alternatif_53,40,0.8,5,0.2,,0,X,
B2,36.5,Alternatif_54,40,0.9,5,0.1,,0,X,
B2,40,Alternatif_55,40,1,5,0,,0,X,
B2,21.8,Alternatif_56,110,0.1,12,0.9,,0,X,
B2,22.8,Alternatif_57,120,0.1,12,0.9,,0,X,
B2,23.8,Alternatif_58,130,0.1,12,0.9,,0,X,
B2,24.8,Alternatif_59,140,0.1,12,0.9,,0,X,
B2,25.8,Alternatif_60,150,0.1,12,0.9,,0,X,
C,25,Alternatif_61,5,0.5,45,0.5,,0,X,
C,24,Alternatif_62,24,1,0,0,,0,X,
C,21,Alternatif_63,21,1,0,0,,0,X,
